funds_account,stat_time_day,total_deposit_amount,total_withdraw_amount,assets_start,assets_end,in,out,rate,pro_in,pro_ot
60807518,2019-12-16,11088.0,5200.0,0.0,5779.13,11088.0,10979.130000000001,0.9901812770562771,0.0,0.0
60807578,2018-08-02,20500.0,36514.0,19226.85,19952.13,39726.85,56466.130000000005,1.4213593577139896,0.0,0.0
60807718,2019-03-04,20440.0,16000.0,0.0,10553.34,20440.0,26553.34,1.299087084148728,0.0,0.0
60807958,2018-09-03,0.0,15619.0,11402.41,0.0,11402.41,15619.0,1.369798139165317,0.0,0.0
60807968,2018-11-07,28115.0,11099.0,6071.48,25983.91,34186.479999999996,37082.91,1.084724429072546,0.0,0.0
60808118,2018-08-07,14007.0,18017.0,9916.94,4771.0,23923.940000000002,22788.0,0.9525186904832564,0.0,0.0
60808398,2018-08-02,0.0,11000.0,6926.95,4170.37,6926.95,15170.369999999999,2.1900504551065043,0.0,0.0
60808508,2018-08-16,0.0,3590.0,14025.78,11480.0,14025.78,15070.0,1.0744500484108548,0.0,0.0
60809258,2018-08-09,6515.0,13031.0,7531.19,0.0,14046.189999999999,13031.0,0.9277248848264192,0.0,0.0
60809918,2019-07-25,15000.0,9500.0,0.0,15409.8,15000.0,24909.8,1.6606533333333333,0.0,0.0
60810078,2018-08-09,28300.0,27500.0,22623.93,35287.26,50923.93,62787.26,1.2329617922261695,0.0,0.0
60810398,2018-08-02,0.0,610.0,16865.91,24175.94,16865.91,24785.94,1.46958806254747,0.0,0.0
60811318,2018-07-31,44860.0,59984.0,20000.42,16743.8,64860.42,76727.8,1.1829679795474652,0.0,0.0
60811618,2018-12-10,19470.0,24040.0,9777.06,15107.97,29247.059999999998,39147.97,1.3385266758436576,0.0,0.0
60812128,2018-08-07,0.0,13500.0,14549.92,24727.8,14549.92,38227.8,2.6273546521217988,0.0,0.0
60812388,2019-01-31,10571.0,24390.0,20175.01,15113.7,30746.01,39503.7,1.2848398865413755,0.0,0.0
60812618,2018-08-01,0.0,20000.0,19115.45,12400.49,19115.45,32400.489999999998,1.6949896549649628,0.0,0.0
60812668,2018-08-03,28785.0,30331.0,11837.18,17527.02,40622.18,47858.020000000004,1.178125349255013,0.0,0.0
60812978,2018-08-06,9000.0,20000.0,25283.53,25312.61,34283.53,45312.61,1.3217019950979378,0.0,0.0
60813178,2018-08-02,23916.0,34366.0,26591.06,18022.83,50507.06,52388.83,1.0372575635960597,0.0,0.0
60813408,2018-08-03,0.0,16000.0,10358.0,12473.36,10358.0,28473.36,2.748924502799768,0.0,0.0
60813528,2018-08-03,6000.0,10200.0,9968.77,3213.43,15968.77,13413.43,0.8399789088326778,0.0,0.0
60813658,2018-10-29,0.0,12412.0,13800.67,0.0,13800.67,12412.0,0.8993766244682323,0.0,0.0
60814198,2018-10-29,16662.0,21686.0,5344.89,11546.8,22006.89,33232.8,1.5101088795372724,0.0,0.0
60814688,2018-08-30,0.0,1000.0,24608.98,37053.79,24608.98,38053.79,1.5463375564529698,0.0,0.0
60814708,2018-08-31,0.0,35177.0,31370.42,0.0,31370.42,35177.0,1.1213429721374468,0.0,0.0
60814798,2018-08-03,88613.0,64900.0,63586.54,86819.52,219812.54,151719.52000000002,0.6902223139771735,67613.0,0.0
60814818,2018-08-06,0.0,11000.0,17389.59,9052.91,17389.59,20052.91,1.153155997352439,0.0,0.0
60814858,2018-08-09,17020.0,15850.0,10000.0,12264.63,27020.0,28114.629999999997,1.0405118430792004,0.0,0.0
60814998,2019-10-17,74009.0,78384.0,0.0,0.0,74009.0,78384.0,1.059114432028537,0.0,0.0
60815008,2018-08-06,26000.0,284196.0,379419.0,37186.68,405419.0,321382.68,0.7927173615444761,0.0,0.0
60815058,2018-08-03,25000.0,36822.0,32022.43,9995.12,57022.43,46817.12,0.8210298999884783,0.0,0.0
60815078,2018-08-30,2640.0,3000.0,9026.6,14776.58,11666.6,17776.58,1.5237155640889377,0.0,0.0
60815158,2018-08-09,10100.0,23100.0,13541.21,14236.61,23641.21,37336.61,1.579301990041965,0.0,0.0
60815208,2019-03-11,790000.0,100000.0,0.0,823811.58,790000.0,923811.58,1.169381746835443,0.0,0.0
60815228,2018-08-07,0.0,13327.0,8783.07,0.0,8783.07,13327.0,1.5173509945838983,0.0,0.0
60815318,2018-08-08,0.0,12014.0,11734.94,0.0,11734.94,12014.0,1.0237802664521505,0.0,0.0
60815388,2018-08-29,0.0,27650.0,15669.57,22233.0,15669.57,49883.0,3.1834313258117484,0.0,0.0
60815458,2018-08-13,0.0,24523.0,17248.92,0.0,17248.92,24523.0,1.421712199952229,0.0,0.0
60815628,2018-08-20,0.0,400000.0,165259.12,9739.87,165259.12,409739.87,2.479378263662544,0.0,0.0
60815668,2018-08-07,600.0,30000.0,22860.53,11393.65,23460.53,41393.65,1.7643953482721833,0.0,0.0
60815888,2018-08-09,11800.0,8000.0,5314.5,18272.21,17114.5,26272.21,1.5350848695550556,0.0,0.0
60815918,2018-10-16,0.0,13600.0,15203.26,87.82,15203.26,13687.82,0.9003213784412027,0.0,0.0
60816098,2018-08-07,8612.0,14994.0,7368.35,0.0,15980.35,14994.0,0.9382773218358796,0.0,0.0
60816178,2018-08-08,0.0,1001.0,31770.55,30330.03,31770.55,31331.03,0.9861658044950433,0.0,0.0
60816758,2018-08-09,0.0,10960.0,14689.37,8383.08,14689.37,19343.08,1.3168080046999975,0.0,0.0
60816768,2018-08-23,0.0,12000.0,174855.83,159450.97,174855.83,171450.97,0.9805276152359347,0.0,0.0
60816818,2018-08-07,46171.0,63400.0,20016.98,20089.09,66187.98,83489.09,1.2613935339921236,0.0,0.0
60816828,2018-09-20,68860.0,45203.0,11216.06,28690.9,92136.06,73893.9,0.8020084644383534,12060.0,0.0
60817018,2018-08-07,0.0,12051.0,14878.32,0.0,14878.32,12051.0,0.8099704805381253,0.0,0.0
60817058,2018-08-07,13000.0,17347.0,4126.11,0.0,17126.11,17347.0,1.012897850124751,0.0,0.0
60817198,2018-08-08,28680.0,60071.0,32032.01,13392.58,60712.009999999995,73463.58,1.2100337313819787,0.0,0.0
60817258,2018-09-10,68591.0,51845.0,15278.73,35371.08,83869.73,87216.08,1.0398993772842717,0.0,0.0
60817328,2018-08-08,10000.0,22000.0,37761.23,29017.19,47761.23,51017.19,1.0681716111582553,0.0,0.0
60817358,2018-08-21,9997.0,3000.0,54.37,20084.36,10051.37,23084.36,2.2966381697221374,0.0,0.0
60817818,2018-08-08,0.0,11196.0,6785.76,0.0,6785.76,11196.0,1.6499257268161562,0.0,0.0
60817868,2018-10-16,0.0,5000.0,10262.19,19116.98,10262.19,24116.98,2.3500812204802286,0.0,0.0
60817958,2018-08-28,148306.0,50000.0,182900.0,390682.63,331206.0,440682.63,1.3305393924023117,0.0,0.0
60817978,2018-08-09,6607.0,17541.0,10549.77,7564.05,17156.77,25105.05,1.4632736814680152,0.0,0.0
60818068,2018-09-06,46003.0,54000.0,10272.64,13100.73,56275.64,67100.73,1.192358363227855,0.0,0.0
60818098,2018-08-16,4298.0,6063.0,2003.0,0.0,6301.0,6063.0,0.9622282177432153,0.0,0.0
60818128,2018-09-13,0.0,20000.0,21247.09,19779.0,21247.09,39779.0,1.8722093237238606,0.0,0.0
60818258,2018-08-30,20000.0,5000.0,0.0,21664.86,20000.0,26664.86,1.333243,0.0,0.0
60818318,2018-08-13,0.0,16000.0,19756.63,5760.06,19756.63,21760.06,1.1014054522456511,0.0,0.0
60818368,2018-08-09,0.0,19707.0,18575.07,0.0,18575.07,19707.0,1.0609381283623696,0.0,0.0
60818388,2018-11-21,0.0,8000.0,20306.68,22178.4,20306.68,30178.4,1.486131657168971,0.0,0.0
60818398,2018-08-14,30002.0,60100.0,30020.3,23122.51,60022.3,83222.51,1.3865265076479907,0.0,0.0
60818518,2018-09-07,26750.0,42998.0,8015.46,8488.45,34765.46,51486.45,1.4809655905602859,0.0,0.0
60818568,2018-08-10,0.0,14023.0,11088.48,5127.14,11088.48,19150.14,1.7270302151422017,0.0,0.0
60818588,2018-08-10,10001.0,8303.0,0.0,0.0,10001.0,8303.0,0.8302169783021698,0.0,0.0
60818678,2018-09-07,500.0,16411.0,15911.19,0.0,16411.190000000002,16411.0,0.9999884225336492,0.0,0.0
60818708,2019-02-12,39388.0,39843.0,0.0,1649.36,39388.0,41492.36,1.0534264242916624,0.0,0.0
60818758,2018-08-16,0.0,30898.0,27041.45,0.0,27041.45,30898.0,1.1426162428420072,0.0,0.0
60818828,2018-08-13,15541.0,17542.0,16644.48,16256.94,32185.48,33798.94,1.0501300586475641,0.0,0.0
60818858,2018-08-15,0.0,6000.0,10284.03,6997.74,10284.03,12997.74,1.2638761263823617,0.0,0.0
60818908,2018-08-22,0.0,10000.0,11612.91,9932.55,11612.91,19932.55,1.7164130265368456,0.0,0.0
60818918,2018-08-14,19000.0,25257.0,28540.71,20534.97,47540.71,45791.97,0.9632159469221222,0.0,0.0
60819068,2019-04-16,10050.0,9351.0,0.0,0.0,10050.0,9351.0,0.9304477611940298,0.0,0.0
60819178,2018-09-06,10000.0,7000.0,0.0,19411.67,10000.0,26411.67,2.641167,0.0,0.0
60819568,2018-08-13,0.0,21700.0,21769.83,13321.89,21769.83,35021.89,1.608735116443261,0.0,0.0
60819718,2018-10-09,0.0,1000.0,25994.21,33661.67,25994.21,34661.67,1.3334381002538642,0.0,0.0
60819778,2018-11-20,194.0,13100.0,20849.05,11410.46,21043.05,24510.46,1.1647769691180698,0.0,0.0
60819958,2018-11-21,0.0,15300.0,19061.43,11126.8,19061.43,26426.8,1.3864017547476764,0.0,0.0
60820068,2018-09-27,34590.0,52048.0,22680.89,10388.54,57270.89,62436.54,1.0901967823443988,0.0,0.0
60820108,2018-11-16,0.0,1000.0,17900.63,25957.08,17900.63,26957.08,1.5059291209303807,0.0,0.0
60820118,2019-01-31,33000.0,30000.0,20000.01,20170.96,53000.009999999995,50170.96,0.9466217081845835,0.0,0.0
60820278,2018-10-03,4500.0,30648.0,32218.92,19523.15,36718.92,50171.15,1.366356908100783,0.0,0.0
60820358,2018-09-06,10001.0,10000.0,0.0,10508.6,10001.0,20508.6,2.0506549345065492,0.0,0.0
60820408,2019-03-06,20000.0,17000.0,0.0,3988.52,20000.0,20988.52,1.049426,0.0,0.0
60820418,2019-03-07,46142.0,41013.0,0.0,10576.96,46142.0,51589.96,1.1180694378223743,0.0,0.0
60820508,2018-09-03,0.0,2833.0,1630.3,0.0,1630.3,2833.0,1.7377169846040605,0.0,0.0
60820678,2019-03-01,20600.0,13613.0,0.0,14473.33,20600.0,28086.33,1.363414077669903,0.0,0.0
60820688,2018-08-17,13000.0,34500.0,36941.75,20051.39,49941.75,54551.39,1.0923003298843152,0.0,0.0
60820698,2018-09-17,0.0,22000.0,22525.82,9648.05,22525.82,31648.05,1.4049677214858327,0.0,0.0
60820818,2018-09-19,1000.0,27375.0,18984.96,0.0,19984.96,27375.0,1.3697800746161113,0.0,0.0
60821178,2018-08-16,6091.0,19531.0,12884.19,10427.97,18975.190000000002,29958.97,1.5788495398465048,0.0,0.0
60821198,2018-09-27,28000.0,16667.0,0.0,19366.0,28000.0,36033.0,1.286892857142857,0.0,0.0
60821268,2018-08-20,0.0,30055.0,29891.99,1804.53,29891.99,31859.53,1.0658216465347405,0.0,0.0
60821278,2018-10-03,3340.0,21634.0,26023.8,55.63,29363.8,21689.63,0.7386520137039485,0.0,0.0
60821328,2018-08-16,3219.0,22214.0,13495.01,9430.12,16714.010000000002,31644.120000000003,1.8932691795685177,0.0,0.0
60821368,2018-08-27,0.0,23479.0,19719.29,0.0,19719.29,23479.0,1.1906615299029528,0.0,0.0
60821458,2018-08-22,31138.0,45792.0,34606.29,30783.33,65744.29000000001,76575.33,1.1647449535161152,0.0,0.0
60821468,2018-08-14,10000.0,29300.0,23742.4,5021.19,33742.4,34321.19,1.0171531959789464,0.0,0.0
60821588,2018-10-02,10192.0,16654.0,11171.2,-0.24,21363.2,25619.76,1.1992473037747153,0.0,8966.0
60821608,2018-08-21,18000.0,24000.0,17316.74,25227.08,35316.740000000005,49227.08,1.3938738399976893,0.0,0.0
60821628,2019-03-27,36500.0,18171.0,0.0,20058.02,36500.0,38229.020000000004,1.0473704109589042,0.0,0.0
