account,tran_stocks_all,tran_stocks_ipo,ipo_rate
61864688,21,21,1.0
66069538,6,6,1.0
65075998,21,21,1.0
61813358,21,21,1.0
61813558,21,21,1.0
69898808,25,15,0.6
67067508,6,6,1.0
67008518,11,9,0.8181818181818182
67000128,9,9,1.0
61856028,1372,4,0.0029154518950437317
67025918,5,5,1.0
89318150,11,11,1.0
61868718,16,16,1.0
67052108,5,5,1.0
60818568,23,23,1.0
69896528,29,29,1.0
63089068,21,21,1.0
69870888,28,28,1.0
67021808,9,9,1.0
67022768,2,2,1.0
66066768,12,12,1.0
69838518,60,59,0.9833333333333333
69820658,31,23,0.7419354838709677
67029788,5,4,0.8
65018128,21,21,1.0
67077828,0,0,
67010298,56,0,0.0
65082578,43,42,0.9767441860465116
63079808,50,46,0.92
67029918,6,5,0.8333333333333334
63067028,4,4,1.0
63009528,44,44,1.0
67066838,0,0,
65009978,9,9,1.0
63090988,34,33,0.9705882352941176
67058688,4,3,0.75
67009968,13,13,1.0
66076698,13,13,1.0
62091228,32,31,0.96875
69893333,2,2,1.0
66066968,5,5,1.0
66025838,28,28,1.0
67009828,11,11,1.0
62089508,72,52,0.7222222222222222
61808308,715,134,0.1874125874125874
61827368,30,30,1.0
65012298,30,30,1.0
63078208,24,24,1.0
60018908,30,30,1.0
61834528,6,0,0.0
63018928,12,12,1.0
66019558,21,19,0.9047619047619048
61835718,36,36,1.0
66061288,14,14,1.0
67015578,7,7,1.0
69852028,22,21,0.9545454545454546
63060538,26,18,0.6923076923076923
67051738,2,2,1.0
